+-------------------+------------------------------------------+--------------------------------+-----------------------------------------------------------------------------------------+
| N˙mero de Cidad„o |      Nome(s) PrÛprio(s) e Apelido(s)     |     Concelho de ResidÍncia     |                                       Profiss„o                                         |
|     81179683      | Nadina C†ssia Feitosa                    | Arronches                      | Cesteiro                                                                               |
|     33693127      | Naz†rio Milheir„o                        | Penela                         | Operador de InstalaÁ„o de Estufagem ñ Arroz                                            |
|     52375676      | Normando AdÑo Marmou                     | Silves                         | Marinheiro de Tr·fego Local                                                            |
|     25038539      | Lisandra Dam·sio Belo                    | LoulÈ                          | Dietista                                                                               |
|     84890932      | Clarissa Loio                            | Chaves                         | Bataneiro                                                                              |
|     73952847      | Ulisses Lancastre Robalinho              | Mora                           | Montador ñ Ind˙stria Cinematogr·fica                                                   |
|     43688331      | Katia MelgaÁo                            | S·t„o                          | Agente TÈcnico AgrÌcola                                                                |
|     48251631      | Osvaldo Rivero                           | Vizela                         | Operador de M·quina de Fabricar Saltos                                                 |
|     84742266      | Benjamim Sa£l Carrilho                   | Celorico De Basto              | Operador Controlador de ExploraÁ„o de TelecomunicaÁıes                                 |
|     94487407      | Vinicios Sabino Cantanhede               | Terras De Bouro                | Engenheiro (Silvicultor) Florestal                                                     |
|     20161234      | Valdo Felicia Marino Aquino              | Marv„o                         | Outros Directores de Empresas                                                          |
|     26838003      | VÉnia Vilarinho                          | Aveiro                         | Operador de Fotocompositora                                                            |
|     45879079      | Sid¢nio Terra Mesquita                   | Santa Maria Da Feira           | Operador de Tanque de Imers„o                                                          |
|     39144662      | Marcos Carina Mafra Sosa                 | Albergaria-A-Velha             | Mec‚nico ñ Reparador de Aparelhos e Antenas de R·dio e TV                              |
|     85924336      | Cleusa Homem                             | Penalva Do Castelo             | Chefe de EstaÁ„o ñ Transportes Rodovi·rios                                             |
|     42236820      | Maur°cia Belo                            | Const‚ncia                     | Outros FilÛlogos, Tradutores e IntÈrpretes                                             |
|     15725997      | Shirley PÛvoas                           | Marco De Canaveses             | Outros Directores e Gerentes do ComÈrcio Grossista e Retalhista                        |
|     89924963      | Tatiana Soverosa Fitas                   | …vora                          | Carregador                                                                             |
|     94018049      | Marcelo Marisol Cach„o Oliveira          | Almeirim                       | Operador de EstaÁ„o de DescoloraÁ„o (Filtrador de Xarope) AÁ˙car                       |
|     61385040      | Simone Balsem„o                          | MaÁ„o                          | Operador de M·quina Autom·tica de Fabrico de Ampolas ñ Vidro                           |
|     17230447      | Isis IfigÇnia MartÌnez Conde             | Montijo                        | Controladores de Tr·fego AÈreo                                                         |
|     68066102      | Larissa Quinaz C‚mara                    | Mondim De Basto                | TÈcnicos das CiÍncias da Vida e da Sa˙de                                               |
|     41020926      | AmÇrico Alancastro Lencastre             | Penacova                       | Assistente de Congressos                                                               |
|     21735731      | Dora Quental J·come                      | Horta                          | Cimenteiro                                                                             |
|     86379789      | Berta Bai„o                              | Porto De MÛs                   | Trabalhadores Florestais e Similares                                                   |
|     88687643      | êrica Mateus Infante Guterres            | Fornos De Algodres             | Outros Directores e Gerentes da ConstruÁ„o Civil                                       |
|     22736649      | C†ssia Vila-Ch„                          | S„o Jo„o Da Pesqueira          | Operador de Sistema de Pesagem e de Mistura ñ AÁ˙car                                   |
|     83734272      | Marcos Bandeira Sequeira                 | Macedo De Cavaleiros           | Tratador de Animais ñ InvestigaÁ„o Experimental e BiolÛgica                            |
|     56971340      | Sandro Borges Grande                     | Vieira Do Minho                | Arrais de Pesca                                                                        |
|     33320412      | Aguinaldo Villaverde                     | Paredes                        | Gravadores e Fotogravadores de Artes Gr·ficas                                          |
|     41833595      | HernÉni Marco Travassos                  | Pombal                         | Mec‚nico de Motores de Aeronaves                                                       |
|     32561453      | Lia Irene ColaÁo Parracho                | Sesimbra                       | Reparador                                                                              |
|     94300248      | Alessandra Valentina Clementino Mour„o   | Alcoutim                       | Professor de EducaÁ„o Especial ñ ¡rea da DeficiÍncia Mental                            |
|     96923425      | Caetana Cavalheiro                       | OurÈm                          | Operador de M·quina de Gomar ñ Borracha                                                |
|     48290674      | Eust†cia Mar°lia Salgueiro Villar        | OurÈm                          | Horticultor                                                                            |
|     74288575      | Aline JessÇ Pedro                        | Vila Nova De Foz CÙa           | Operador de Linha de Fabrico de Produtos Alimentares                                   |
|     90981814      | Belmira Ediberto InÍs Dantas             | Santiago Do CacÈm              | Oficial Vidreiro                                                                       |
|     36926758      | Walter Reinaldo MÈndez                   | Idanha-A-Nova                  | Condutor de VeÌculos de TracÁ„o Animal                                                 |
|     49638800      | Vicente Manso Naz·rio                    | Amares                         | Inspector de Turismo                                                                   |
|     25717752      | Get£lio Delfim Cordeiro                  | Caminha                        | RepÛrter Fotogr·fico                                                                   |
|     68136702      | Jade NoÇmia Duarte                       | Barcelos                       | Engenheiro TÈcnico Civil ñ ConstruÁ„o de EdifÌcios                                     |
|     71675751      | Cloe Theo Hollanda Bicudo                | Portim„o                       | Estufeiro ñ Produtos Alimentares                                                       |
|     38695073      | Vanusa Pais Pallos                       | Ponte De Sor                   | Operadores de InstalaÁıes Fixas e Similares                                            |
|     73225845      | Geralda Fonseca Salles                   | Mealhada                       | Engenheiro de Sistemas ñ Inform·tica                                                   |
|     86047328      | C†ssia Abrantes Filgueiras               | Aguiar Da Beira                | Construtor de Pneus                                                                    |
|     15566177      | Hor†cio Saraiva Angelim                  | Santiago Do CacÈm              | Especialistas das CiÍncias Sociais e Humanas                                           |
|     98432433      | Jacy ValÇria Pessoa Pessanha             | MonÁ„o                         | Polidores de Metais e Afiadores de Ferramentas                                         |
|     90029188      | Edmundo Albano Marreiro Torcato          | Tomar                          | Soldador por Pontos                                                                    |
|     43098816      | Anast†cio Silvino Landim                 | Cinf„es                        | Operador de M·quina de Moldar ñ MatÈrias Pl·sticas                                     |
|     80137410      | Solange Eanes Rebotim                    | Vila Franca De Xira            | Cortador de Carnes Verdes                                                              |
|     37641321      | Karen Ilha                               | Ponte De Lima                  | Operador de EstaÁ„o ElevatÛria ñ ¡gua e Esgotos                                        |
|     12617657      | Greta Salgueiro Cascais                  | Moita                          | Perito CriminalÌstico                                                                  |
|     25810310      | Juliano Frederica Candeias               | Angra Do HeroÌsmo              | Magistrado do MinistÈrio P˙blico                                                       |
|     66842728      | Lisandra Heitor Rebotim                  | Entroncamento                  | Condutores de VeÌculos Pesados de Passageiros e Carros ElÈctricos                      |
|     35728009      | Delores Martim CalÁada Siqueira          | Madalena                       | TÈcnico de Pecu·ria                                                                    |
|     49854945      | Dinis Torcato Escobar                    | Barreiro                       | Operadores de Fornos e de Aparelhos de Tratamento TÈrmico ñ Ind˙stria QuÌmica          |
|     28118212      | Lourenáo Maranh„o Ginjeira               | Praia Da VitÛria               | Engomador de Teias                                                                     |
|     27969715      | Aguinaldo Felicia Canto GonÁalves        | Alvito                         | Bailarino                                                                              |
|     27738614      | Gerson Naves                             | Vendas Novas                   | TÈcnico de Instrumentos de Precis„o                                                    |
|     34650003      | Irma Pedro                               | Anadia                         | Outros TÈcnicos de SeguranÁa AÈrea                                                     |
|     96718961      | Lucas Dinora Urias Felipe                | Penedono                       | Operador de M·quina de Serrar (Serrador) ñ Peles                                       |
|     14828938      | Lourival Ol°mpia Raminhos Caldas         | Rio Maior                      | Guardas dos ServiÁos Prisionais                                                        |
|     53128978      | Eul†lia Carlos Rolim Casqueira           | Vila Nova De Gaia              | Mergulhador (Escafandrista)                                                            |
|     96520691      | Samanta Raimunda Pessanha Valad„o        | Freixo De Espada ¿ Cinta       | Outros Artes„os de Artigos em Tecido, Couro e Materiais Similares                      |
|     98420462      | Afonso Lucinda Cidreira                  | Nelas                          | Moldador de Chocolate                                                                  |
|     88289150      | Lisandro Capistrano                      | Ourique                        | Engenheiro de Minas ñ Hidrologia Subterr‚nea                                           |
|     41825469      | Jasmim NazarÇ Maia Talh„o                | Cascais                        | TÈcnicos das CiÍncias da Vida                                                          |
|     16989494      | Micaela Clarisse Neves Nolasco           | Nelas                          | Outros Operadores de M·quinas de RevelaÁ„o                                             |
|     95675279      | Vicente Guedelha Torrado                 | Barcelos                       | Escriv„o ñ ServiÁos JurÌdicos                                                          |
|     82447537      | Florival Viveiros                        | Cinf„es                        | TipÛgrafo, em Geral                                                                    |
|     21287577      | Ema Portugal                             | Alcoutim                       | Encarregado ñ Caldeireiros, Latoeiros e Bate-Chapas                                    |
|     32505398      | Albina Sanches Oliveira                  | MonÁ„o                         | Actor                                                                                  |
|     40005955      | JessÇ Jeremias Covinha                   | Mafra                          | Outros Directores de Empresas                                                          |
|     76516115      | Lourival Leme Figueiroa                  | Crato                          | Chefe de Divis„oñ AdministraÁ„o P˙blica                                                |
|     89162654      | Ferdinando Freixo                        | Odivelas                       | Pintor ñ SuperfÌcies Met·licas                                                         |
|     35948640      | Melanie Urias                            | Vila Do Porto                  | Sacrist„o                                                                              |
|     19950482      | Nero Melinda Cordeiro                    | Covilh„                        | MÈdico Cirurgi„o ñ Cirurgia Maxilo-Facial                                              |
|     71721994      | Jesus L°lia Mort·gua                     | Set˙bal                        | Chefe de SecÁ„o                                                                        |
|     50048948      | Gl¢ria Lage                              | Vila Nova De Paiva             | Tanoeiro                                                                               |
|     40958472      | CÇlia Jacinta Torrado                    | Salvaterra De Magos            | Agente de CobranÁa e Leitura                                                           |
|     82388081      | Gil Agnete Soverosa Bogalho              | Esposende                      | Preparador de Vinhos                                                                   |
|     71209327      | Evelise Jeremias Miranda Bairros         | S„o Vicente                    | Outros Oper·rios, ArtÌfices e Trabalhadores Similares                                  |
|     21832237      | Amaro Rafaela Travassos                  | Seixal                         | Outros Enceradores e Trabalhadores Similares da ConstruÁ„o Civil                       |
|     34521143      | NazarÇ Valverde                          | Santa Marta De Penagui„o       | Raspador Mec‚nico (Operador de M·quina de Raspar e Rebaixar PÍlo)                      |
|     61628665      | Amanda Blanco Gil                        | PedrÛg„o Grande                | Engenheiros GeÛgrafos e HidrÛgrafos                                                    |
|     90121853      | Valdemiro Fitas Ornelas                  | S„o Jo„o Da Madeira            | Chocolateiro, em Geral                                                                 |
|     44743019      | Afonso Miguel Bentes                     | Vila Real                      | Inspector de Movimento ñ Caminhos de Ferro                                             |
|     25360264      | Liane Soto                               | Pombal                         | Outros Limpadores de Fachadas e Limpa-ChaminÈs                                         |
|     84158743      | Lorena Taveiros                          | Lajes Do Pico                  | Cableador                                                                              |
|     88092918      | Armanda Fi„es Cirne                      | MÈrtola                        | Professor de EducaÁ„o Especial ñ ¡rea da DeficiÍncia Auditiva                          |
|     85244275      | Esa£ Simıes                              | S„o Pedro Do Sul               | Encarregado ñ RevelaÁ„o e Impress„o de Fotografias                                     |
|     62922860      | George Sandra Rufino                     | Santa Marta De Penagui„o       | Operador de M·quina de Colmatagem                                                      |
|     26970894      | Silva Anhaia Noguera                     | Vila Nova Da Barquinha         | Decorador de Interiores                                                                |
|     71048808      | Juvelina Fausto Frias Sanches            | NazarÈ                         | Cableador                                                                              |
|     10785938      | Jaime Varella                            | Mort·gua                       | Outros Especialistas do Trabalho Social                                                |
|     83647395      | Yasmin Bairros Sacadura                  | MelgaÁo                        | Embaixador                                                                             |
|     50674931      | Alexandrina Batata Marreiro              | Sever Do Vouga                 | Carregador, Descarregador                                                              |
|     74409170      | Ant¢nia Vergueiro                        | Calheta De S„o Jorge           | Operador de InstalaÁ„o de Moldagem de Pl·sticos                                        |
|     48086700      | Reinaldo Bettencourt                     | Alcoutim                       | Entalhador                                                                             |
|     97499498      | Arlete Beiriz                            | Lourinh„                       | Trabalhador de RecepÁ„o de Tomate                                                      |
|     42785212      | Deonilde Frederica Prates                | Oliveira Do Bairro             | Rebarbador Mec‚nico                                                                    |
|     30939159      | George Albino Abrantes                   | Barreiro                       | Cableador                                                                              |
|     44615651      | Geraldina ConceiáÑo Cedraz               | S·t„o                          | Afagador ñ Madeiras                                                                    |
|     99126241      | Loreta Amado Camarinho Torrado           | Salvaterra De Magos            | Operador de M·quina de Enchimento de AerosÛis                                          |
|     75399215      | T£lio Raminhos                           | Pampilhosa Da Serra            | TÈcnico de Redes ñ Electricidade                                                       |
|     16014867      | Vicente Lampreia Barbalho                | Tomar                          | Electromec‚nico de Instrumentos de Precis„o                                            |
|     43849855      | TomÇ VerÌssimo Baldaia                   | Pinhel                         | Outros FilÛlogos, Tradutores e IntÈrpretes                                             |
|     16215127      | Am†vel Campelo Miguel                    | Viseu                          | Electricista da ConstruÁ„o Civil                                                       |
|     70488812      | Caetano Benevides CafÈ                   | Palmela                        | Outros Directores de ServiÁos Inform·ticos                                             |
|     40782758      | Ediberto Il°dio Varej„o                  | Vila Verde                     | MÈdico Estomatologista                                                                 |
|     53590987      | Hip¢lito Fialho Cardoso                  | Almeirim                       | Operador de Encoladeira ñ Cart„o Micro-Canelado                                        |
|     89196749      | Cristiano Vanda Malafaia                 | Barreiro                       | Chefe de Partida (Director de Partida) ñ Casinos                                       |
|     79283766      | Alan Cardoso Outeiro                     | Espinho                        | Arrumador de Sala de Espect·culos                                                      |
|     19709338      | Judite Garcez Vianna                     | Mondim De Basto                | Escolhedor                                                                             |
|     18440161      | Nicolau Br°gido Muxagata                 | Moura                          | Director de ServiÁos Recreativos, Culturais e Desportivos                              |
|     13187896      | Cid†lia Amarante                         | Moimenta Da Beira              | Motorista de AutomÛveis Ligeiros ñ Passageiros                                         |
|     28096943      | Guilherme Maristela Abreu                | Maia                           | Outros Operadores de ExploraÁ„o de TelecomunicaÁıes e Telefonistas                     |
|     25077635      | Apolin†rio MendoÁa Simas                 | Sert„                          | MÈdico Urologista                                                                      |
|     15101616      | Graciete HÇrcules Paes Saloio            | Ansi„o                         | Alfaiate ñ Vestu·rio por Medida                                                        |
|     16821537      | Regina Vilela Chousa                     | Guarda                         | Preparador de Lotes                                                                    |
|     29329274      | Ernesto Romana Marmou                    | Santana                        | Maquinista Teatral                                                                     |
|     67154748      | êlio Calheiros                           | Gouveia                        | Pintor ñ Decorador a Pincel ñ Vidro e Cer‚mica                                         |
|     34386669      | JoÑo Loio Carrasqueira                   | ¡gueda                         | Outro Pessoal de Limpeza de EscritÛrios, HotÈis e Trabalhadores Similares              |
|     86689829      | Lourival Teixeira                        | Praia Da VitÛria               | Outros Fundidores-Moldadores e Macheiros                                               |
|     63650292      | Tito Isolda Abelho Gaspar                | Mafra                          | Trabalhador do Fabrico de Instrumentos Musicais de Corda                               |
|     74745165      | Omar Argeu Sotomayor Abrantes            | Gr‚ndola                       | Montador de Baterias                                                                   |
|     73419334      | Carlota Eliana Macena                    | AlmodÙvar                      | TÈcnico de Radiologia                                                                  |
|     82786768      | Cloe Menna Vale                          | Arganil                        | Radiotelegrafista (Operador Radiotelegrafista) ñ InstalaÁ„o em Terra                   |
|     88275540      | Erm°nio Castel-Branco Madruga            | Ponte Da Barca                 | Outros Trabalhadores N„o Qualificados da Ind˙stria Transformadora                      |
|     27744104      | Belarmino Taveira                        | Anadia                         | Inspector da PolÌcia Judici·ria                                                        |
|     87860364      | Susana Paulos                            | Alcoutim                       | TÈcnico de PrÛteses Dent·rias                                                          |
|     75608066      | Lauro Aparecida Bethecourt Rebimbas      | Figueira De Castelo Rodrigo    | Outros Condutores de M·quinas de ExtracÁ„o ñ Minas e Pedreiras                         |
|     91347209      | Micaela TÉnia Ferraz                     | Aveiro                         | Cantoneiros de Limpeza e Trabalhadores Similares                                       |
|     26428348      | Edite Alvim                              | Santana                        | Outros Directores de Transportes, Entrepostos e TelecomunicaÁıes                       |
|     89971110      | Georgina Julieta Sampaio Frota           | Sardoal                        | Amolador de Cutelaria                                                                  |
|     85221400      | MoisÇs Rafaela Boaventura                | Moimenta Da Beira              | Outros Historiadores e Especialistas das CiÍncias PolÌticas                            |
|     82356189      | Alexandre Quinteiro                      | Vendas Novas                   | Polidor de Metais (Operador de M·quina de Polir Metais)                                |
|     73152228      | Neusa Evandro Aldeia Vidal               | Celorico Da Beira              | Outros TÈcnicos de Turismo                                                             |
|     10939110      | Graáa Tasha Sobral Ruela                 | Lajes Das Flores               | Engenheiros ElectrotÈcnicos e Engenheiros TÈcnicos ElectrotÈcnicos                     |
|     39607140      | SalomÑo Estela Chagas                    | Tondela                        | Agricultor ñ Floricultura (Floricultor)                                                |
|     70175810      | Martinho Natacha PÛvoas Quintanilla      | Almeida                        | Assistente de Cena ñ Cinema                                                            |
|     93639450      | Carla Alexandra Robalinho                | Vila Velha De RÛd„o            | Gravador com Roda ñ Vidro                                                              |
|     76610934      | Dorisse Quintanilha                      | Vila De Rei                    | TÈcnico de ManutenÁ„o ñ Inform·tica                                                    |
|     89772043      | Katia Wilma Laranjeira Fitas             | Almada                         | Desenhador HumorÌstico (Caricaturista)                                                 |
|     12605310      | Emanuel Iglesias Fitas                   | Lousada                        | Telefonista ñ Central TelefÛnica Privada                                               |
|     12210717      | Talita Abreu Boaventura                  | Redondo                        | Operador de Triturador                                                                 |
|     31087550      | Roberta Greta Valadares Mesquita         | Nordeste                       | Estriador de Cilindros                                                                 |
|     62181897      | Adelmiro TÉnia Lima Mello                | Vila Nova De Poiares           | Operador de InstalaÁ„o Autom·tica de Moldagem ñ Vidro                                  |
|     34914179      | Jasmim Ventura                           | Manteigas                      | Supervisor de Contas ñ Publicidade                                                     |
|     43913516      | Bernardo Mayor                           | Oleiros                        | Fundidor de Material Tipogr·fico                                                       |
|     91524886      | NÇlida Doutis Cavadas                    | Aveiro                         | Agente Publicit·rio                                                                    |
|     34470985      | Helena EleutÇrio ¡lvaro Ribas            | Alc·cer Do Sal                 | Outros Joalheiros e Lapidadores                                                        |
|     82336656      | Adalberto Gustavo Ornellas Capucho       | Peso Da RÈgua                  | TopÛgrafo ñ GeÛmetra                                                                   |
|     20310449      | Nara Albina Fitas                        | Amadora                        | Magistrado do MinistÈrio P˙blico                                                       |
|     38169744      | Sheila Maità Caeiro Silveira             | Sabugal                        | Transformadora e dos Transportes                                                       |
|     53551842      | Isolda Minho Blanco                      | Almeida                        | Outros Montadores de Aparelhagem ElÈctrica e ElectrÛnica                               |
|     32917457      | Valentim Liana Arantes Villar            | Tondela                        | Encarregado ñ ConduÁ„o de Centrais TermoelÈctricas                                     |
|     81520091      | Xània Sesimbra                           | Portim„o                       | Realizador de Televis„o                                                                |
|     24072779      | Miguel Vilalobos                         | Figueira Da Foz                | Operador de InstalaÁ„o de Fabrico de Placas AcrÌlicas                                  |
|     79413354      | Loreta Almada Guedes                     | Vila Do Bispo                  | Ficheiro Volante (Maleiro, Caixa Auxiliar Volante) ñ Casinos                           |
|     33128693      | Narciso Sosa                             | MÈrtola                        | Impressor de Flexografia                                                               |
|     65458062      | Arlindo Caminha                          | ProenÁa-A-Nova                 | Montador de Andaimes                                                                   |
|     13266211      | Kevin Paranhos C‚mara                    | Sardoal                        | Engenheiros GeÛgrafos e HidrÛgrafos                                                    |
|     25172386      | Fernando Freire                          | Calheta                        | Operador de M·quina de Vaporizar Fios                                                  |
|     60267883      | Mateus Lourenáo ¡lvares Bernardes        | Penedono                       | Barman (Empregado do ServiÁo de Bebidas)                                               |
|     96523097      | Vera Aveiro Vilaverde                    | …vora                          | Montador de M·quinas ElectrÛnicas                                                      |
|     91791890      | Lourival Nuno Camacho                    | Penamacor                      | Montador de Artigos em Madeira e MatÈrias Similares                                    |
|     73970928      | Abel Idalinda Rego                       | Santa Comba D„o                | BiÛlogo ñ Especialista em Ecologia                                                     |
|     97707422      | LibÉnio Marroquim Toscano                | Vila Pouca De Aguiar           | Operador de InstalaÁ„o Autom·tica de Pintar                                            |
|     14780195      | Osvaldo Joaquim ¡lvares Freiria          | Marv„o                         | Servente ñ ConstruÁ„o Civil e Obras P˙blicas                                           |
|     68666713      | Sueli Bandeira                           | Vila De Rei                    | Acabador de AntibiÛticos                                                               |
|     61465403      | Clarisse Fartaria                        | Lajes Do Pico                  | Agricultores e Pescadores ñ Agricultura e Pesca de SubsistÍncia                        |
|     69472943      | Felicia Altina Zagalo                    | Nisa                           | Operador de Serragem ñ Chapa de Pedra                                                  |
|     96006684      | Elizabeth Ademir PÛvoas RodrÌguez        | Castanheira De PÍra            | Bombeiros                                                                              |
|     27203023      | Lissa Granjeia                           | AlmodÙvar                      | Outros Ministros de Culto e Membros de Ordens Religiosas                               |
|     16940377      | Calebe GonÁalves                         | Lajes Das Flores               | Outros Operadores de M·quinas do Fabrico de Artigos em Madeira e CortiÁa               |
|     61086113      | Dinarte Tito Sesimbra                    | Soure                          | Telhadores                                                                             |
|     94554078      | Heidi Arlindo ¡gueda                     | AlijÛ                          | Operador de Amplicopiadora                                                             |
|     15303429      | Natacha Inàs MilheiriÁo                  | Monchique                      | Directores de Empresas de ServiÁos Pessoais, Limpeza e Similares                       |
|     78605214      | M†rcio Paes Quesado                      | Angra Do HeroÌsmo              | Trabalhador do Fabrico de Instrumentos Musicais de Corda                               |
|     48890976      | Dora Ramalho                             | PÛvoa De Varzim                | Operador de M·quinas do Fabrico de Agulhas de AÁo                                      |
|     52279612      | Elen VÉnia Saraiva Ramallo               | Fafe                           | Outros Escultores, Pintores e Outros Artistas Similares                                |
|     84717320      | Samanta Kevin D‚maso Uchoa               | Crato                          | Engenheiro Civil                                                                       |
|     88066617      | EstefÉnia Granja Betancour               | Benavente                      | Oficiais Maquinistas de Navios                                                         |
|     32806334      | Frederica Moniz                          | MonÁ„o                         | Inspector Administrativo                                                               |
|     84376677      | Kirina Omar Maltez Benevides             | Barrancos                      | Sapateiro ñ CalÁado OrtopÈdico                                                         |
|     54069021      | Fl†via Ant¢nio Gentil                    | Castelo Branco                 | Arquivistas, Bibliotec·rios, Documentalistas e Profissıes Similares                    |
|     75145599      | Odair Rafael Lins                        | AlpiarÁa                       | Soldador a Arco ElÈctrico                                                              |
|     51381015      | Normando Garcia                          | Vila Franca De Xira            | Profissionais de NÌvel IntermÈdio de FinanÁas e ServiÁos Comerciais                    |
|     73275659      | SimÑo Zagallo                            | Oleiros                        | Engenheiro TÈcnico Agr·rio ñ Engenharia AgrÌcola                                       |
|     16154049      | DÇia Vasconcellos Moreira                | LoulÈ                          | Serrador Mec‚nico ñ Madeira                                                            |
|     72736534      | ValÇrio Rafaela Cachoeira Pereira        | Peniche                        | Analista de Sistemas ñ Inform·tica                                                     |
|     37699811      | AmÇrico Noronha Rivas                    | Barreiro                       | Vendedores Ambulantes de Produtos ComestÌveis                                          |
|     44167674      | Morgana Bentes                           | AlpiarÁa                       | Preparador de Lotes de CafÈ                                                            |
|     79473963      | N°dia Laureano                           | Celorico Da Beira              | Operadores de InstalaÁıes Fixas e Similares                                            |
|     88582446      | Kelvin Sant'Anna Castelo Branco          | MurÁa                          | Outros Caixas de Estabelecimentos Banc·rios                                            |
|     37305685      | Mariana Hildegarda Tabosa                | Torres Vedras                  | Director ArtÌstico e Criativo                                                          |
|     45664837      | Adolfo Granja Bensa˙de                   | Macedo De Cavaleiros           | Agricultor                                                                             |
|     12318669      | Bartolomeu M¢nica Rezende Eanes          | Gouveia                        | Escritur·rio ñ Seguros                                                                 |
|     33340584      | Samanta Magda Malheiro Ruela             | Vila Do Bispo                  | Director de Fotografia ñ Cinema                                                        |
|     64624740      | Mauro Costa                              | Sintra                         | Outros Empregados de Aprovisionamento                                                  |
|     19765095      | Salvador Elda Blanco Carrasco            | Leiria                         | Preparador de PÍlo                                                                     |
|     59606720      | Diogo Br†ulio Barroqueiro                | Lagos                          | Cortador Manual de Papel                                                               |
|     48974695      | Pilar Donato Uchoa                       | Campo Maior                    | Operadores de M·quinas de RevelaÁ„o                                                    |
|     21144088      | Ap¢lo Erasmo Rebimbas PatrÌcio           | Moura                          | TÈcnico de Turismo                                                                     |
|     74254236      | Jocelina Fl†via Olaio                    | Aljezur                        | Operador de M·quina de Imprimir Fotografias                                            |
|     40185385      | Soraia Kirina Carmo                      | Santo Tirso                    | Enfardador                                                                             |
|     31542134      | R£ben Leit„o                             | Oeiras                         | Moldador de Artigos em Fibra de Vidro                                                  |
|     51244537      | Anast†cia Silvestre CafÈ                 | Alenquer                       | Pedreiro                                                                               |
|     63610750      | Isolina Milheir„o Penteado               | Esposende                      | Operador de Quadro                                                                     |
|     69346777      | Ulisses Escobar                          | Cinf„es                        | Outros Trefiladores e Estiradores                                                      |
|     96909131      | SalomÑo Paes                             | Porto Moniz                    | Outros Porteiros, Guardas e Trabalhadores Similares                                    |
|     42919952      | Isaura CornÇlia Candeias Lisboa          | Cabeceiras De Basto            | Outros Directores de Empresas                                                          |
|     45094032      | Selma Belisa Macieira                    | Goleg„                         | Operador de Torno                                                                      |
|     89228160      | B†rbara Elvira Quintanilla Quadros       | Serpa                          | Operador de M·quina de Parafinar ñ Cart„o Canelado                                     |
|     43672948      | Lino Casado                              | Carregal Do Sal                | Inspector de Vendas                                                                    |
|     63530171      | Ema Ferr„o                               | Montemor-O-Velho               | Encarregado ñ Cartonageiros e Operadores de M·quinas de Cartonagem                     |
|     21817736      | Elen Torreiro                            | Mira                           | MÈdico do Trabalho                                                                     |
|     60923817      | NoÇlia Olivier Pamplona                  | Torres Vedras                  | Director de Escola                                                                     |
|     10040323      | Aldara Saldanha                          | PÛvoa De Lanhoso               | Reparador de Instrumentos Musicais de Sopro em Metal                                   |
|     97343674      | Silvino Ver¢nica Godoi                   | Lajes Das Flores               | Fundidor de Alto-Forno                                                                 |
|     51770032      | Naum Garcez                              | ValenÁa                        | Florista ñ Flores Artificiais                                                          |
|     99473360      | Douglas Anhaia Novaes                    | Penacova                       | Outros Operadores de M·quinas do Fabrico de Artigos de Pl·stico                        |
|     23983410      | QuitÇria EirÛ                            | Batalha                        | TÈcnico de OrtoprÛtese                                                                 |
|     89269793      | Serafim Camacho                          | Castro Verde                   | Outros Afinadores ñ Operadores de M·quinas Ferramentas                                 |
|     89207412      | Susete Monjardim                         | MaÁ„o                          | Arameiro                                                                               |
|     18926092      | Constantino Loreta Cach„o Campos         | Resende                        | Mediador (Angariador de Seguros)                                                       |
|     89979259      | Vit¢ria Samara Valido Benevides          | Alvai·zere                     | Operador de Linha de Enchimento ñ Bebidas                                              |
|     39288957      | Shirley Edgar Quint„o Zagallo            | Mealhada                       | Operadores de M·quinas do Fabrico de Produtos QuÌmicos                                 |
|     82515913      | Rubina Leda Rodovalho                    | Cinf„es                        | QuÌmico                                                                                |
|     76263234      | Vilela DamiÑo Varanda MelgaÁo            | Albergaria-A-Velha             | Mec‚nico ñ Reparador de Motociclos e VelocÌpedes                                       |
|     45947766      | Camila Claudino NÛbrega Beltr„o          | Vila Pouca De Aguiar           | TÈcnico de Vendas ñ Inform·tica                                                        |
|     69134125      | Lia Vianna Taborda                       | MurÁa                          | M˙sicos, Cantores e Bailarinos de Espect·culos de Variedades e Artistas Similares      |
|     49010227      | Evelina Alda HipÛlito                    | Carregal Do Sal                | Condutor de VeÌculos de TracÁ„o Animal                                                 |
|     85443247      | Erico Vaz Gomes                          | Lamego                         | Abridor de Palhetos ñ Peles                                                            |
|     56607117      | Crist¢vÑo Infante Franca                 | Entroncamento                  | Estucador                                                                              |
|     82323309      | Cid†lia Rute Tavares Colares             | Arraiolos                      | Operador de Fabrico de Forros para Saltos                                              |
|     84188182      | Luca VÉnia Anlicoara Coronel             | Albufeira                      | Operador de Linha de Fabrico de PÛlvora                                                |
